Date/Time,HVAC [kW](Hourly),Electrical appliances [kW](Hourly),Hourly Total Load Consumption,PV Generation Trabzon [kW],PV Generation Antalya [kW]
 11/05  06:00:00,0.094109766,0.084144476,0.178254242,0,0.033253824
 11/05  07:00:00,0.089393988,0.144379125,0.233773113,0.116781588,0.323634978
 11/05  08:00:00,0.08510454,0.232499704,0.317604244,0.41188119,0.797249196
 11/05  09:00:00,0.085564084,0.305100596,0.39066468,0.870722172,1.33984263
 11/05  10:00:00,0.083143453,0.379068143,0.462211596,1.184583222,1.558379796
 11/05  11:00:00,0.104645005,0.399725262,0.504370268,1.439800704,1.758436374
 11/05  12:00:00,0.081217237,0.417422741,0.498639978,1.467690102,1.609945692
 11/05  13:00:00,0.077242617,0.40358372,0.480826337,1.315941444,1.339617942
 11/05  14:00:00,0.072833429,0.365540376,0.438373805,0.96587754,0.969753408
 11/05  15:00:00,0.070938915,0.33584236,0.406781276,0.572898228,0.520742526
 11/05  16:00:00,0.072327322,0.343849828,0.41617715,0.166521894,0.112512516
 11/05  17:00:00,0.069075432,0.39324111,0.462316541,0,0
 11/05  18:00:00,0.094311359,0.483552459,0.577863818,0,0
 11/05  19:00:00,0.065761959,0.436445739,0.502207698,0,0
 11/05  20:00:00,0.061314014,0.354222199,0.415536212,0,0
 11/05  21:00:00,0.063537519,0.315609714,0.379147233,0,0
 11/05  22:00:00,0.067781304,0.298905481,0.366686785,0,0
 11/05  23:00:00,0.078972932,0.239053022,0.318025954,0,0
 11/05  24:00:00,0.088264099,0.156085771,0.244349869,0,0
 11/06  01:00:00,0.105333843,0.090892612,0.196226454,0,0
 11/06  02:00:00,0.122668477,0.07666173,0.199330207,0,0
 11/06  03:00:00,0.125327172,0.064098165,0.189425337,0,0
 11/06  04:00:00,0.12853543,0.056862021,0.185397451,0,0
 11/06  05:00:00,0.130992748,0.067277,0.198269748,0,0
 11/06  06:00:00,0.138500862,0.080047784,0.218548645,0,0.029602644
 11/06  07:00:00,0.154162616,0.133753612,0.287916228,0.110602668,0.336863484
